STATION CODE,LOCATIONS,STATE,Temp,PH,Conductivity,BOD,NI,Fec_col,Tot_col,DO
3461.0,"KANOLI CANAL AT ERANJIKKAL, KAZHEKODE",KERALA,26.56,7.32,16064.0,1.91,0.55,2911.11,4377.78,4.56
3467.0,"UNTHITHODU AT ELOOR, ERNAKULAM",KERALA,28.09,6.93,1614.78,14.59,4.13,710.0,2577.78,0.97
3469.0,"PALAKKATTUTHAZHA-MTHODU AT PERUMBAVOOR, ERNAKULAM",KERALA,27.2,6.83,68.44,1.76,0.67,756.67,1661.11,4.73
2836.0,"MORAMBAMARINE, DISTT. THOUBAL",MANIPUR,29.0,7.04,149.3,1.59,,,32.0,6.57
2428.0,JOBRA( ORIGIN OF TALAGANDA CNAL),ORISSA,27.8,7.92,173.0,1.78,0.55,40160.0,48200.0,7.94
2429.0,"NAUBAZAR, CUTTACK CITY",ORISSA,28.6,7.94,182.8,2.08,0.89,71400.0,119200.0,6.44
2430.0,"ATHARABANKI(WATER INTAKE POINT OF PPL, IFFCO & PPT)",ORISSA,29.2,7.83,572.07,3.62,0.82,19640.0,37840.0,7.71
2932.0,"NARMADA MAIN CANAL (BEFORE ENTERING IN RAJASTHAN STATE), TEHSIL SANCHORE, JALORE",RAJASTHAN,22.21,8.08,377.5,1.19,0.4,3.92,10.17,6.91
2933.0,"GANG CANAL AT KHAKKA HEAR NEAR HINDUMAL KOT, GANGANAGAR",RAJASTHAN,24.66,7.27,333.33,1.3,0.57,4.17,13.5,5.84
2934.0,MASITAWALA HEAD HANUMANGARH,RAJASTHAN,28.47,7.08,324.17,1.33,0.53,3.58,11.75,5.92
1729.0,"NEAR PRAGATI VIDYABHAWAN, AGARTALA",TRIPURA,28.5,8.84,384.67,33.51,6.49,640.0,826.67,1.33
2726.0,"UPPER GANGA CANAL D/S HARIKIPAURI, HARIDWAR",UTTARANCHAL,18.98,7.71,124.67,2.68,,,245.46,8.25
3035.0,UPPER GANGA CANAL-MURADNAGAR,UTTAR PRADESH/CPCB,,7.83,457.0,,,40000.0,81000.0,
2512.0,"NOAI CANAL NORTH 24 PARGANAS, NEAR GANGA NAGAR MOTIBRIDGE",WEST BENGAL,29.08,7.16,1196.25,33.72,0.41,36000000.0,49000000.0,1.2
